ControlType.Button|||1720,549,120,42
ControlType.Text||ちゃんみな|1728,556,105,28
ControlType.Button|||1982,549,95,42
ControlType.Text||TEST ME|1990,556,80,28
ControlType.Text||HQ|2530,561,21,18
ControlType.Text||02:51|2593,556,90,28
ControlType.Button|||2698,546,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,607,1818,75
ControlType.Button|CoverThumbnail||1067,615,60,60
ControlType.Image|||1067,615,60,60
ControlType.Button|isFavouriteIconButton||1142,625,39,39
ControlType.Text||All Alone With You|1197,631,172,28
ControlType.Button|||1720,623,84,42
ControlType.Text||EGOIST|1728,631,69,28
ControlType.Button|||1982,623,188,42
ControlType.Text||All Alone With You|1990,631,173,28
ControlType.Text||05:50|2593,631,90,28
ControlType.Button|||2698,620,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,682,1818,75
ControlType.Button|CoverThumbnail||1067,690,60,60
ControlType.Image|||1067,690,60,60
ControlType.Button|isFavouriteIconButton||1142,700,39,39
ControlType.Text||elbadaernU|1197,706,107,28
ControlType.Button|||1720,699,84,42
ControlType.Text||EGOIST|1728,706,69,28
ControlType.Button|||1982,699,188,42
ControlType.Text||All Alone With You|1990,706,173,28
ControlType.Text||04:10|2593,706,90,28
ControlType.Button|||2698,696,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,757,1818,75
ControlType.Button|CoverThumbnail||1067,765,60,60
ControlType.Image|||1067,765,60,60
ControlType.Button|isFavouriteIconButton||1142,775,39,39
ControlType.Text||Tonight Tonight|1197,781,145,28
ControlType.Button|||1720,774,84,42
ControlType.Text||EGOIST|1728,781,69,28
ControlType.Button|||1982,774,89,42
ControlType.Text||BANG!!!|1990,781,74,28
ControlType.Text||03:31|2593,781,90,28
ControlType.Button|||2698,771,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,832,1818,75
ControlType.Button|CoverThumbnail||1067,840,60,60
ControlType.Image|||1067,840,60,60
ControlType.Button|isFavouriteIconButton||1142,850,39,39
ControlType.Text||1.4.2|1197,856,44,28
ControlType.Button|||1720,849,84,42
ControlType.Text||EGOIST|1728,856,69,28
ControlType.Button|||1982,849,69,42
ControlType.Text||Fallen|1990,856,54,28
ControlType.Text||04:07|2593,856,90,28
ControlType.Button|||2698,846,63,49
ControlType.ListItem||WinUIMusicPlayer.Model.Music|1043,907,1818,74
